[INFO][trade.go:89]2021/05/10 15:59:33 [Limit交易方式 剩余钱：45.187454, 剩余币：1.570000, 订单中的钱：30.000000, 订单中的币：33.830000, 按照现价盈利：1.423586 钱，百分比 1.089102 ,按照策略开始时价格盈利 -1.164422, 如果不做交易盈利 1.462152, 币价涨0.073108 ，百分比4.760871]
[INFO][trade.go:89]2021/05/10 15:59:41 [Limit交易方式 剩余钱：40.187454, 剩余币：1.600000, 订单中的钱：30.000000, 订单中的币：36.910000, 按照现价盈利：1.314964 钱，百分比 1.006002 ,按照策略开始时价格盈利 -1.388730, 如果不做交易盈利 1.404152, 币价涨0.070208 ，百分比4.572019]
[INFO][trade.go:89]2021/05/10 16:03:08 [Limit交易方式 剩余钱：35.187454, 剩余币：1.620000, 订单中的钱：30.000000, 订单中的币：40.010000, 按照现价盈利：1.216822 钱，百分比 0.930919 ,按照策略开始时价格盈利 -1.597682, 如果不做交易盈利 1.352152, 币价涨0.067608 ，百分比4.402703]
[INFO][trade.go:89]2021/05/10 16:05:15 [Limit交易方式 剩余钱：30.187454, 剩余币：1.640000, 订单中的钱：30.000000, 订单中的币：43.110000, 按照现价盈利：1.272506 钱，百分比 0.973520 ,按照策略开始时价格盈利 -1.806633, 如果不做交易盈利 1.376152, 币价涨0.068808 ，百分比4.480849]
[INFO][trade.go:89]2021/05/10 16:05:35 [Limit交易方式 剩余钱：20.187454, 剩余币：1.690000, 订单中的钱：30.000000, 订单中的币：49.300000, 按照现价盈利：1.110596 钱，百分比 0.849652 ,按照策略开始时价格盈利 -2.224537, 如果不做交易盈利 1.308152, 币价涨0.065408 ，百分比4.259436]
[INFO][trade.go:89]2021/05/10 16:05:44 [Limit交易方式 剩余钱：15.187454, 剩余币：1.740000, 订单中的钱：30.000000, 订单中的币：52.380000, 按照现价盈利：1.056782 钱，百分比 0.808482 ,按照策略开始时价格盈利 -2.418132, 如果不做交易盈利 1.284152, 币价涨0.064208 ，百分比4.181291]
[INFO][trade.go:89]2021/05/10 16:06:03 [Limit交易方式 剩余钱：10.187454, 剩余币：1.760000, 订单中的钱：30.000000, 订单中的币：55.490000, 按照现价盈利：1.024081 钱，百分比 0.783464 ,按照策略开始时价格盈利 -2.611728, 如果不做交易盈利 1.270152, 币价涨0.063508 ，百分比4.135705]
[INFO][trade.go:89]2021/05/10 16:06:31 [Limit交易方式 剩余钱：5.187454, 剩余币：1.790000, 订单中的钱：30.000000, 订单中的币：58.590000, 按照现价盈利：0.980960 钱，百分比 0.750475 ,按照策略开始时价格盈利 -2.805324, 如果不做交易盈利 1.254152, 币价涨0.062708 ，百分比4.083608]
[INFO][trade.go:89]2021/05/10 16:06:45 [Limit交易方式 剩余钱：0.187454, 剩余币：1.810000, 订单中的钱：30.000000, 订单中的币：61.710000, 按照现价盈利：0.732838 钱，百分比 0.560651 ,按照策略开始时价格盈利 -2.983564, 如果不做交易盈利 1.170152, 币价涨0.058508 ，百分比3.810098]
[INFO][trade.go:89]2021/05/10 16:07:30 [Limit交易方式 剩余钱：5.186610, 剩余币：1.810000, 订单中的钱：30.000000, 订单中的币：58.590000, 按照现价盈利：1.356361 钱，百分比 1.037673 ,按照策略开始时价格盈利 -2.775456, 如果不做交易盈利 1.368152, 币价涨0.068408 ，百分比4.454801]
[INFO][trade.go:89]2021/05/10 16:08:52 [Limit交易方式 剩余钱：0.186610, 剩余币：1.830000, 订单中的钱：30.000000, 订单中的币：61.700000, 按照现价盈利：0.995701 钱，百分比 0.761753 ,按照策略开始时价格盈利 -2.969052, 如果不做交易盈利 1.248152, 币价涨0.062408 ，百分比4.064072]
