[INFO][cal.go:93]2021/05/02 11:38:40 [剩余钱：71.353333, 剩余币：35.943000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：1.000443, 币价格涨幅：0.986329]
[INFO][cal.go:93]2021/05/02 11:50:35 [剩余钱：66.646933, 剩余币：38.940000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：0.997345, 币价格涨幅：0.993434]
[INFO][cal.go:93]2021/05/02 11:53:42 [剩余钱：61.973833, 剩余币：41.937000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：0.992503, 币价格涨幅：1.003671]
[INFO][cal.go:93]2021/05/02 12:00:28 [剩余钱：61.973833, 剩余币：44.934000, 订单中的钱：-0.000000, 订单中的币：0.000000, 如果现在平仓盈利：0.990660, 币价格涨幅：1.007369]
[INFO][cal.go:93]2021/05/02 12:01:28 [剩余钱：57.333733, 剩余币：47.931000, 订单中的钱：-0.000000, 订单中的币：0.000000, 如果现在平仓盈利：0.985251, 币价格涨幅：1.017166]
[INFO][cal.go:93]2021/05/02 12:03:31 [剩余钱：57.361505, 剩余币：44.931000, 订单中的钱：4.596300, 订单中的币：0.000000, 如果现在平仓盈利：0.989590, 币价格涨幅：1.009130]
[INFO][cal.go:93]2021/05/02 12:04:08 [剩余钱：57.361505, 剩余币：47.928000, 订单中的钱：-0.000000, 订单中的币：0.000000, 如果现在平仓盈利：0.985426, 币价格涨幅：1.017166]
[INFO][cal.go:93]2021/05/02 12:06:09 [剩余钱：57.403367, 剩余币：44.928000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.991184, 币价格涨幅：1.006523]
[INFO][cal.go:93]2021/05/02 12:10:12 [剩余钱：62.068797, 剩余币：41.928000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.994719, 币价格涨幅：0.999615]
[INFO][cal.go:93]2021/05/02 12:14:24 [剩余钱：66.767494, 剩余币：38.928000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.997522, 币价格涨幅：0.993878]
[INFO][cal.go:93]2021/05/02 12:20:09 [剩余钱：71.499757, 剩余币：35.928000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：1.000740, 币价格涨幅：0.986891]
